index,title,series,sku,image_count,folder
1,消防员灭火防护服（作战款）,,HYF-5513,9,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\001_消防员灭火防护服（作战款）
2,消防员灭火防护服（指挥款）,,HYF-5531,0,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\002_消防员灭火防护服（指挥款）
3,消防员抢险救援服（夏款）,,HYF-5221,9,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\003_消防员抢险救援服（夏款）
4,消防员抢险救援服（冬款）,,HYF-5219,0,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\004_消防员抢险救援服（冬款）
5,17式森林防火服,,HYF-5317,10,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\005_17式森林防火服
6,阻燃扑火服,,HYF-5322,2,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\006_阻燃扑火服
7,国家卫生应急服（马甲+裤子）,,HYF-5127,2,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\007_国家卫生应急服（马甲+裤子）
8,国家卫生应急服春秋款,,HYF-5128,2,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\008_国家卫生应急服春秋款
9,消防员隔热防护服,,HYF-9901,2,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\009_消防员隔热防护服
10,消防员防蜂服,,HYF-9902,2,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\010_消防员防蜂服
11,一级化学品防护服,,HYF-9903,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\011_一级化学品防护服
12,干式水域救援服,,HYF-9905,11,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\012_干式水域救援服
13,湿式水域救援服,,HYF-9906,0,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\013_湿式水域救援服
14,消防员灭火防护头盔（作战款）,以下是参考资料,HYF-9102,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\014_消防员灭火防护头盔（作战款）
15,消防员灭火防护头盔（指挥款）,,HYF-9101,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\015_消防员灭火防护头盔（指挥款）
16,消防手套,,HYF-7501,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\016_消防手套
17,消防腰带,,HYF-9A01,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\017_消防腰带
18,消防员灭火防护靴,,HYF-9601,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\018_消防员灭火防护靴
19,抢险救援头盔（带护目镜选配）,,HYF-9103,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\019_抢险救援头盔（带护目镜选配）
20,抢险救援行军帽,,HYF-9105,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\020_抢险救援行军帽
21,抢险救援防护腰带,,HYF-9A02,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\021_抢险救援防护腰带
22,抢险救援防护手套,,HYF-7502,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\022_抢险救援防护手套
23,抢险救援防护靴,,HYF-9602,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\023_抢险救援防护靴
24,森林防火头盔,,HYF-7101,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\024_森林防火头盔
25,森林防火头罩,,HYF-5319,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\025_森林防火头罩
26,森林防火手套,,HYF-7503,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\026_森林防火手套
27,护目镜,,HYF-7201,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\027_护目镜
28,应急背囊,,HYF-9A03,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\028_应急背囊
29,防火靴,,HYF-9603,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\029_防火靴
30,扑火鞋,,HYF-9605,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\030_扑火鞋
31,水域救援头盔,,HYF-9106,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\031_水域救援头盔
32,水域救援手套,,HYF-9503,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\032_水域救援手套
33,激流救生衣,,HYF-9907,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\033_激流救生衣
34,水域救援靴,,HYF-9609,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\034_水域救援靴
35,大音量救生口哨,,HYF-9A06,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\035_大音量救生口哨
36,水域救援割绳刀,,HYF-9A07,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\036_水域救援割绳刀
37,牛尾绳,,HYF-9A08,1,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册---消防应急系列4.15\按商品拆分\037_牛尾绳
