index,title,series,sku,image_count,folder
1,1级防电弧服（衬衫款）,1级防电弧服标品款,HYF-3801,2,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——防电弧服（最终版）\按商品拆分\001_1级防电弧服（衬衫款）
2,1级防电弧服（夹克款）,1级防电弧服标品款,HYF-3802,3,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——防电弧服（最终版）\按商品拆分\002_1级防电弧服（夹克款）
3,2级防电弧服（夹克款）,2级防电弧服标品款,HYF-3853,5,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——防电弧服（最终版）\按商品拆分\003_2级防电弧服（夹克款）
4,2级防电弧服（大褂款）,2级防电弧服标品款,HYF-3809,2,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——防电弧服（最终版）\按商品拆分\004_2级防电弧服（大褂款）
5,3级防电弧服（夹克款）34cal,3级防电弧服标品款,HYF-3819,5,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——防电弧服（最终版）\按商品拆分\005_3级防电弧服（夹克款）34cal
6,3级防电弧服（大褂、背带裤款）34cal,3级防电弧服标品款,HYF-3821/HYF-3856,6,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——防电弧服（最终版）\按商品拆分\006_3级防电弧服（大褂、背带裤款）34cal
7,4级防电弧服（夹克款）41cal,4级防电弧服标品款,HYF-3826,5,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——防电弧服（最终版）\按商品拆分\007_4级防电弧服（夹克款）41cal
8,4级防电弧服（大褂、背带裤款）41cal,4级防电弧服标品款,HYF-3827/HYF-3828,6,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——防电弧服（最终版）\按商品拆分\008_4级防电弧服（大褂、背带裤款）41cal
9,4级防电弧服（大褂、背带裤款）80cal,定制款,HYF-3841/HYF-3842,7,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——防电弧服（最终版）\按商品拆分\009_4级防电弧服（大褂、背带裤款）80cal
10,250g 16CAL橙色防电弧大褂,定制款,HYF-3893,2,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——防电弧服（最终版）\按商品拆分\010_250g 16CAL橙色防电弧大褂
