index,title,series,sku,image_count,folder
1,A级阻燃春秋分体套装,A款阻燃服标品款,HYF-3163,7,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——热防护4.15\按商品拆分\001_A级阻燃春秋分体套装
2,B级阻燃春秋分体套装,B款阻燃服标品款,HYF-3102,7,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——热防护4.15\按商品拆分\002_B级阻燃春秋分体套装
3,A级阻燃春秋分体套装,A级阻燃服定制款(图片还在生成中）,HYF-3165,0,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——热防护4.15\按商品拆分\003_A级阻燃春秋分体套装
4,防喷溅分体套装,熔融金属飞溅服标品款,HYF-3542,5,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——热防护4.15\按商品拆分\004_防喷溅分体套装
5,阻燃防静电全棉秋季套装,阻燃防静电服标品款1,HYF-33106,4,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——热防护4.15\按商品拆分\005_阻燃防静电全棉秋季套装
6,阻燃防静电夏季套装,阻燃防静电服标品款2,HYF-33107,4,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——热防护4.15\按商品拆分\006_阻燃防静电夏季套装
7,防静电夏季分体套装,防静电服标品款1,HYF-6106,2,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——热防护4.15\按商品拆分\007_防静电夏季分体套装
8,防静电夏季连体服,防静电服标品款2,HYF-6102,2,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——热防护4.15\按商品拆分\008_防静电夏季连体服
9,防静电春秋分体套装,防静电服标品款3,HYF-6107,2,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——热防护4.15\按商品拆分\009_防静电春秋分体套装
10,A级焊接服,A级焊接服标品款1(配件还在完善中，会加入焊接眼镜）,HYF-3241,7,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——热防护4.15\按商品拆分\010_A级焊接服
11,B级焊接服,B级焊接服标品款2(配件还在完善中，会加入焊接眼镜）,HYF-3244（墨绿）、HYF-3230（藏蓝）,7,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——热防护4.15\按商品拆分\011_B级焊接服
12,A级焊接服,A级焊接服定制款,待定,0,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——热防护4.15\按商品拆分\012_A级焊接服
13,B级空调焊接服,B级焊接服定制款,HYF-3243（藏蓝）,0,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\产品册——热防护4.15\按商品拆分\013_B级空调焊接服
