index,category,series,title,sku,image_count,source_document,folder
1,屏蔽服,未分组,500kV带电作业用屏蔽服,HYF-3701,8,产品册---屏蔽服 系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\屏蔽服\未分组\001_500kV带电作业用屏蔽服_HYF-3701
2,屏蔽服,未分组,750kV带电作业用屏蔽服,HYF-3702,8,产品册---屏蔽服 系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\屏蔽服\未分组\002_750kV带电作业用屏蔽服_HYF-3702
3,屏蔽服,未分组,1000kV带电作业用屏蔽服,HYF-3703,8,产品册---屏蔽服 系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\屏蔽服\未分组\003_1000kV带电作业用屏蔽服_HYF-3703
4,屏蔽服,未分组,500kV交流高压静电服,HYF-3901,8,产品册---屏蔽服 系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\屏蔽服\未分组\004_500kV交流高压静电服_HYF-3901
5,消防应急,未分组,消防员灭火防护服（作战款）,HYF-5513,9,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\001_消防员灭火防护服（作战款）_HYF-5513
6,消防应急,未分组,消防员灭火防护服（指挥款）,HYF-5531,0,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\002_消防员灭火防护服（指挥款）_HYF-5531
7,消防应急,未分组,消防员抢险救援服（夏款）,HYF-5221,9,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\003_消防员抢险救援服（夏款）_HYF-5221
8,消防应急,未分组,消防员抢险救援服（冬款）,HYF-5219,0,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\004_消防员抢险救援服（冬款）_HYF-5219
9,消防应急,未分组,17式森林防火服,HYF-5317,10,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\005_17式森林防火服_HYF-5317
10,消防应急,未分组,阻燃扑火服,HYF-5322,2,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\006_阻燃扑火服_HYF-5322
11,消防应急,未分组,国家卫生应急服（马甲+裤子）,HYF-5127,2,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\007_国家卫生应急服（马甲+裤子）_HYF-5127
12,消防应急,未分组,国家卫生应急服春秋款,HYF-5128,2,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\008_国家卫生应急服春秋款_HYF-5128
13,消防应急,未分组,消防员隔热防护服,HYF-9901,2,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\009_消防员隔热防护服_HYF-9901
14,消防应急,未分组,消防员防蜂服,HYF-9902,2,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\010_消防员防蜂服_HYF-9902
15,消防应急,未分组,一级化学品防护服,HYF-9903,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\011_一级化学品防护服_HYF-9903
16,消防应急,未分组,干式水域救援服,HYF-9905,11,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\012_干式水域救援服_HYF-9905
17,消防应急,未分组,湿式水域救援服,HYF-9906,0,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\013_湿式水域救援服_HYF-9906
18,消防应急,以下是参考资料,消防员灭火防护头盔（作战款）,HYF-9102,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\以下是参考资料\014_消防员灭火防护头盔（作战款）_HYF-9102
19,消防应急,未分组,消防员灭火防护头盔（指挥款）,HYF-9101,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\015_消防员灭火防护头盔（指挥款）_HYF-9101
20,消防应急,未分组,消防手套,HYF-7501,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\016_消防手套_HYF-7501
21,消防应急,未分组,消防腰带,HYF-9A01,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\017_消防腰带_HYF-9A01
22,消防应急,未分组,消防员灭火防护靴,HYF-9601,1,产品册---消防应急系列4.15.docx,D:\code\永霏网站项目\site-demo-背景视频\yourfield-next\资料文件\拆分结果\按产品分类\消防应急\未分组\018_消防员灭火防护靴_HYF-9601
